channel_title,title,views,likes,dislikes
jypentertainment,TWICE Heart Shaker M/V,11028219,652334,51050
EminemVEVO,Eminem - River (Audio) ft. Ed Sheeran,11020054,599698,10796
KarolGVEVO,"Karol G, Shaggy - Tu Pum Pum ft. El Capitaan, Sekuence",11006727,169101,6097
Ed Sheeran,Ed Sheeran - Perfect Symphony (with Andrea Bocelli),10999974,718513,9789
Sony Pictures Entertainment,SPIDER-MAN: INTO THE SPIDER-VERSE - Official Trailer (HD),10997686,336023,13271
SMTOWN,Red Velvet Î†àÎìúÎ≤®Î≤≥ 'Bad Boy' MV,10964492,859237,21766
Dude Perfect,Giant Darts Battle | Dude Perfect,10944812,338803,7424
Dude Perfect,Football vs Soccer Trick Shots | Dude Perfect,10929365,508112,6326
5-Minute Crafts,42 HOLY GRAIL HACKS THAT WILL SAVE YOU A FORTUNE,10883016,100510,21627
HBO,Westworld Season 2 | Official Super Bowl LII Ad | HBO,10856602,35572,1232
Guardian News,Yanny vs Laurel video: which name do you hear? ‚Äì audio,10804447,46063,6828
ibighit,j-hope 'Daydream (Î∞±ÏùºÎ™Ω)' MV,10695328,2050578,14714
ibighit,BTS (Î∞©ÌÉÑÏÜåÎÖÑÎã®) LOVE YOURSELF ËΩâ Tear 'Singularity' Comeback Trailer,10666323,1956241,13966
Whatsapp Status Videos,Video from my phone part second New Watsapp Status,10655105,15417,4877
jbalvinVEVO,J. Balvin - Ahora,10633754,266735,7873
Sony Pictures Entertainment,VENOM - Official Teaser Trailer (HD),10632722,186500,22182
Dude Perfect,Old School Trick Shots | Dude Perfect,10607169,391221,8306
SpaceX,Falcon Heavy Test Flight,10582444,199462,2557
Dude Perfect,Water Bottle Flip 2 | Dude Perfect,10552150,438807,7340
Gorillaz,Gorillaz - Humility (Official Video),10477914,613231,18546
WORLDSTARHIPHOP,6IX9INE Gotti (WSHH Exclusive - Official Music Video),10471871,471621,41093
HBO,Westworld Season 2 | Official Super Bowl LII Ad | HBO,10385748,31251,1148
Home Bollywud,Arjun Kapoor's SHOCKING Refusal To Comment On Sridevi PASSING AWAY,10309281,35287,11699
TheWeekndVEVO,The Weeknd - Call Out My Name (Official Video),10308019,545768,8939
Dude Perfect,Deep Sea Fishing Battle | Dude Perfect,10273003,337276,12853
oddlysatisfying videos,THE BEST LIKE A BOSS COMPILATION üòéüòéüòé AMAZING 10 MINUTES üòÅüòµüò≤,10236562,66095,13007
NFL,Justin Timberlake‚Äôs FULL Pepsi Super Bowl LII Halftime Show! | NFL Highlights,10226518,143106,46697
Disney‚Ä¢Pixar,Incredibles 2 - Olympics Sneak Peek,10096037,286380,7048
Vevo,Bruno Mars and Cardi B - Finesse (LIVE From The 60th GRAMMYs ¬Æ),10080696,298775,11450
CelineDionVEVO,C√©line Dion - Ashes (from the Deadpool 2 Motion Picture Soundtrack),10079114,264868,7133
WORLDSTARHIPHOP,Pusha T The Story Of Adidon (Drake Diss) (WSHH Exclusive - Official Audio),10062732,233069,20605
NickyJamTV,Live It Up (Official Video) - Nicky Jam feat. Will Smith & Era Istrefi (2018 FIFA World Cup Russia),10053872,369149,25577
MLG Highlights,Fergie Performs The U.S. National Anthem / 2018 NBA All-Star Game,9994516,16677,67317
Paramount Pictures,Bumblebee (2018) - Official Teaser Trailer - Paramount Pictures,9988608,151352,10274
Paramount Pictures,Mission: Impossible - Fallout (2018) - Official Trailer - Paramount Pictures,9978294,129866,3645
Dua Lipa,Dua Lipa - IDGAF (Official Music Video),9974517,747604,16717
20th Century Fox,Bohemian Rhapsody | Teaser Trailer [HD] | 20th Century FOX,9871934,294809,5701
Dude Perfect,All Sports Golf Battle 2 | Dude Perfect,9828746,316977,5797
20th Century Fox,Deadpool 2: The Final Trailer,9823890,278353,2335
T-Series,"Yo Yo Honey Singh: DIL CHORI (Video) Simar Kaur, Ishers | Hans Raj Hans | Sonu Ke Titu Ki Sweety",9678138,297717,19615
Ozuna,Ozuna - La Modelo Ft Cardi B ( Video Oficial ),9675155,354784,14105
Clash Royale,Clash Royale: Meet the Rascals! (New Card!),9674889,225274,17340
Dude Perfect,Model Rocket Battle | Dude Perfect,9651434,432676,4078
KarolGVEVO,"Karol G, Shaggy - Tu Pum Pum ft. El Capitaan, Sekuence",9644957,162299,5654
justintimberlakeVEVO,Justin Timberlake - Filthy (Official Video),9583159,190741,41413
PostMaloneVEVO,Post Malone - Psycho ft. Ty Dolla $ign,9542897,489076,8354
DrakeVEVO,Drake - God‚Äôs Plan,9528846,912434,6780
Warner Bros. Pictures,READY PLAYER ONE - Official Trailer 1 [HD],9523267,154282,7854
BostonDynamics,"What's new, Atlas?",9421291,191296,4403
The Tonight Show Starring Jimmy Fallon,Musical Genre Challenge with Ariana Grande,9407979,329165,4911
20th Century Fox,Deadpool 2 | With Apologies to David Beckham,9399654,268149,2400
Dude Perfect,Old School Trick Shots | Dude Perfect,9397277,369438,7613
KendrickLamarVEVO,Kendrick Lamar - LOVE. ft. Zacari,9153648,504180,8736
Universal Pictures,Jurassic World: Fallen Kingdom - Final Trailer [HD],9136960,146816,5854
T-Series,Raid | Official Trailer | Ajay Devgn | Ileana D'Cruz | Rajkumar Gupta | 16th March,9087502,168169,4093
20th Century Fox,Bohemian Rhapsody | Teaser Trailer [HD] | 20th Century FOX,9052821,279716,5398
PewDiePie,Why I'm not in YouTube Rewind 2017,8991142,608301,13801
HawkGuruHacker,3 Simple Tricks,8969738,15572,6000
Guntur Talkies,‡∞µ‡∞ø‡∞™‡±ç‡∞™‡±Å‡∞§‡∞æ‡∞µ‡∞æ ‡∞µ‡∞ø‡∞™‡±ç‡∞™‡∞® | ‡∞à ‡∞í‡∞ï‡±ç‡∞ï ‡∞®‡±à‡∞ü‡±ç ‡∞™‡±ç‡∞≤‡±Ä‡∞ú‡±ç | oka night please | best telugu short film,8958510,6892,6236
WIRED,Stranger Things Cast Answer the Web's Most Searched Questions | WIRED,8952634,360340,6503
Paramount Pictures,Mission: Impossible - Fallout (2018) - Official Trailer - Paramount Pictures,8937442,165512,2819
EminemVEVO,Eminem - River ft. Ed Sheeran,8914332,677999,12490
ABC Television Stations,Do you hear Yanny or Laurel?,8910493,42597,7177
Star Wars,Solo: A Star Wars Story Official Teaser,8880884,181666,22246
Dude Perfect,Water Bottle Flip 2 | Dude Perfect,8839267,395069,6146
The Weeknd,The Weeknd - Call Out My Name (Official Audio),8763592,341040,5632
MalumaVEVO,Maluma - Marinero (Official Video),8753051,430210,28353
Jimmy Kimmel Live,Mean Tweets ‚Äì Avengers Edition,8751813,215766,6265
Maroon5VEVO,Maroon 5 - Girls Like You ft. Cardi B,8713137,740543,9906
Sony Pictures Entertainment,VENOM - Official Teaser Trailer (HD),8694299,170486,20494
WORLDSTARHIPHOP,Pusha T The Story Of Adidon (Drake Diss) (WSHH Exclusive - Official Audio),8654006,216565,19041
Dude Perfect,All Sports Golf Battle 2 | Dude Perfect,8643326,299733,5168
Marvel Entertainment,Marvel Studios‚Äô Avengers: Infinity War - Big Game Spot,8642998,244219,2987
Saad Lamjarred | ÿ≥ÿπÿØ ŸÑŸÖÿ¨ÿ±ÿØ,Saad Lamjarred - Ghazali (EXCLUSIVE Music Video) | 2018 | ÿ≥ÿπÿØ ŸÑŸÖÿ¨ÿ±ÿØ - ÿ∫ÿ≤ÿßŸÑŸä ( ŸÅŸäÿØŸäŸà ŸÉŸÑŸäÿ® ÿ≠ÿµÿ±ŸäÿßŸã),8621506,394864,50578
Dude Perfect,Deep Sea Fishing Battle | Dude Perfect,8593086,305104,11053
JColeVEVO,J. Cole - ATM,8551173,378970,15279
BostonDynamics,"What's new, Atlas?",8533826,180591,4104
Dude Perfect,Giant Darts Battle | Dude Perfect,8523528,296275,5962
PinkVEVO,P!nk - Beautiful Trauma (Official Video),8464537,327504,12297
EminemVEVO,Eminem - River (Audio) ft. Ed Sheeran,8452171,525523,8928
MigosVEVO,"Migos, Nicki Minaj, Cardi B - MotorSport",8404844,341150,16708
Troom Troom,17 Weird Ways To Sneak Makeup Into Class / Back To School Pranks,8354444,48656,7321
Nintendo,First Look at Nintendo Labo,8349078,243563,29805
NFL,Justin Timberlake‚Äôs FULL Pepsi Super Bowl LII Halftime Show! | NFL Highlights,8313413,123302,39422
MR.ROMEO,25 AWESOME CRAFTING LIFE HACKS & CREATIVE IDEAS,8307705,17275,7793
Universal Pictures,Jurassic World: Fallen Kingdom - Official Trailer #2 [HD],8293323,162439,4232
20th Century Fox,Deadpool‚Äôs ‚ÄúWet on Wet‚Äù Teaser,8291139,254160,5437
Dude Perfect,Christmas Stereotypes,8267018,367669,5273
Walt Disney Animation Studios,Ralph Breaks The Internet: Wreck-It Ralph 2 Official Teaser Trailer,8258921,200217,7453
Cardi B,"Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]",8227432,631410,21807
netd m√ºzik,Aleyna Tilki YALNIZ √áƒ∞√áEK ft. Emrah Karaduman,8186205,216059,77655
Ed Sheeran,Ed Sheeran - Perfect Duet (with Beyonc√©) [Official Audio],8130538,643784,9699
ibighit,BTS (Î∞©ÌÉÑÏÜåÎÖÑÎã®) 'FAKE LOVE' Official MV (Extended ver.),8120145,1624230,8402
EminemVEVO,Eminem - Walk On Water (Official Video) ft. Beyonc√©,8097041,532082,25374
The Late Late Show with James Corden,Spill Your Guts or Fill Your Guts w/ Kim Kardashian,8072982,174945,6413
RedeTV,"Mendiga esbanja boa forma, desvia a aten√ß√£o da rapaziada e desperta a f√∫ria da mulherada",8070507,50943,8749
How Ridiculous,BOWLING BALL Vs. TRAMPOLINE from 45m!,8053628,212324,17272
Star Wars,Solo: A Star Wars Story Official Teaser,8043038,171328,20482
Logan Paul Vlogs,Suicide: Be Here Tomorrow.,8041970,1167518,147659
ABC Television Stations,Do you hear Yanny or Laurel?,7920497,38760,6339
PewDiePie,LOGAN PAUL RETURNS  üì∞ PEW NEWSüì∞,7906164,510517,19747
Resumenes FUT,Espa√±a vs Argentina 6-1 Resumen Highlights Goles Amistoso 2018,7865428,52297,6246
Marvel Entertainment,Marvel Studios' Ant-Man and The Wasp - Official Trailer,7857491,293007,3637
KatyPerryVEVO,Katy Perry - Hey Hey Hey (Official),7842032,418845,78835
TheWeekndVEVO,The Weeknd - Call Out My Name (Official Video),7831865,477339,7317
jbalvinVEVO,J. Balvin - Ambiente,7828494,310322,8737
NickyJamTV,Live It Up - Nicky Jam feat. Will Smith & Era Istrefi (2018 FIFA World Cup Russia) (Official Audio),7776219,175699,33215
WWE,Rey Mysterio makes a shocking return in the Royal Rumble Match: Royal Rumble 2018 (WWE Network),7735840,150474,2277
GEazyMusicVEVO,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",7729028,325585,15176
Logan Paul Vlogs,Logan Paul - SANTA DISS TRACK (Official Music Video),7691902,761858,86476
